date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2/18/2016,96.26,102.023,108.72675,0,0,0,0,0,86875,86875,0,-0.13125
2/19/2016,96.04,101.5782,108.54005,0,0,0,0,0,86875,86875,0,-0.13125
2/22/2016,96.88,101.1512,108.38445,0,0,0,0,0,86875,86875,0,-0.13125
2/23/2016,94.69,100.7326,108.24075,0,0,0,0,0,86875,86875,0,-0.13125
2/24/2016,96.1,100.3312,108.09875,0,0,0,0,0,86875,86875,0,-0.13125
2/25/2016,96.76,100.0028,107.97055,0,0,0,0,0,86875,86875,0,-0.13125
2/26/2016,96.91,99.6914,107.83585,0,0,0,0,0,86875,86875,0,-0.13125
2/29/2016,96.69,99.4154,107.69495,0,0,0,0,0,86875,86875,0,-0.13125
3/1/2016,100.53,99.1992,107.58715,0,0,0,0,0,86875,86875,0,-0.13125
3/2/2016,100.75,99.0346,107.48685,0,0,0,0,0,86875,86875,0,-0.13125
3/3/2016,101.5,98.944,107.40685,0,0,0,0,0,86875,86875,0,-0.13125
3/4/2016,103.01,98.8576,107.31575,0,0,0,0,0,86875,86875,0,-0.13125
3/7/2016,101.87,98.7504,107.21845,0,0,0,0,0,86875,86875,0,-0.13125
3/8/2016,101.03,98.5988,107.11085,0,0,0,0,0,86875,86875,0,-0.13125
3/9/2016,101.12,98.4606,107.01995,0,0,0,0,0,86875,86875,0,-0.13125
3/10/2016,101.17,98.3476,106.91305,0,0,0,0,0,86875,86875,0,-0.13125
3/11/2016,102.26,98.218,106.82525,0,0,0,0,0,86875,86875,0,-0.13125
3/14/2016,102.52,98.122,106.73315,0,0,0,0,0,86875,86875,0,-0.13125
3/15/2016,104.58,98.1084,106.64125,0,0,0,0,0,86875,86875,0,-0.13125
3/16/2016,105.97,98.1208,106.56335,0,0,0,0,0,86875,86875,0,-0.13125
3/17/2016,105.8,98.1826,106.46635,0,0,0,0,0,86875,86875,0,-0.13125
3/18/2016,105.92,98.287,106.33475,0,0,0,0,0,86875,86875,0,-0.13125
3/21/2016,105.91,98.4762,106.24105,0,0,0,0,0,86875,86875,0,-0.13125
3/22/2016,106.72,98.6714,106.16275,0,0,0,0,0,86875,86875,0,-0.13125
3/23/2016,106.13,98.8234,106.03135,0,0,0,0,0,86875,86875,0,-0.13125
3/24/2016,105.67,98.9376,105.88275,0,0,0,0,0,86875,86875,0,-0.13125
3/28/2016,105.19,99.0936,105.73965,0,0,0,0,0,86875,86875,0,-0.13125
3/29/2016,107.68,99.2568,105.60465,0,0,0,0,0,86875,86875,0,-0.13125
3/30/2016,109.56,99.5054,105.47455,0,0,0,0,0,86875,86875,0,-0.13125
3/31/2016,108.99,99.752,105.34445,0,0,0,0,0,86875,86875,0,-0.13125
4/1/2016,109.99,100.016,105.23515,0,0,0,0,0,86875,86875,0,-0.13125
4/4/2016,111.12,100.3124,105.13575,0,0,0,0,0,86875,86875,0,-0.13125
4/5/2016,109.81,100.4802,105.02815,0,0,0,0,0,86875,86875,0,-0.13125
4/6/2016,110.96,100.7106,104.97005,0,0,0,0,0,86875,86875,0,-0.13125
4/7/2016,108.54,100.8816,104.89435,0,0,0,0,0,86875,86875,0,-0.13125
4/8/2016,108.66,101.1864,104.82375,0,0,0,0,0,86875,86875,0,-0.13125
4/11/2016,109.02,101.485,104.79055,0,0,0,0,0,86875,86875,0,-0.13125
4/12/2016,110.44,101.747,104.7532,0,0,0,0,0,86875,86875,0,-0.13125
4/13/2016,112.04,102.0592,104.7367,0,0,0,0,0,86875,86875,0,-0.13125
4/14/2016,112.1,102.4116,104.6848,0,0,0,0,0,86875,86875,0,-0.13125
4/15/2016,109.85,102.6816,104.5955,0,0,0,0,0,86875,86875,0,-0.13125
4/18/2016,107.48,102.8992,104.4773,0,0,0,0,0,86875,86875,0,-0.13125
4/19/2016,106.91,103.157,104.3689,0,0,0,0,0,86875,86875,0,-0.13125
4/20/2016,107.13,103.3994,104.2514,0,0,0,0,0,86875,86875,0,-0.13125
4/21/2016,105.97,103.619,104.1308,0,0,0,0,0,86875,86875,0,-0.13125
4/22/2016,105.68,103.8472,104.0095,0,0,0,0,0,86875,86875,0,-0.13125
4/25/2016,105.08,104.0748,103.8773,1,1,500,500,52540,34335,86875,0,-0.13125
4/26/2016,104.35,104.282,103.7474,1,0,500,0,52175,34335,86510,-0.004201439,-0.1349
4/27/2016,97.82,104.3056,103.5628,1,0,500,0,48910,34335,83245,-0.037741302,-0.16755
4/28/2016,94.83,104.2398,103.3591,1,0,500,0,47415,34335,81750,-0.017959037,-0.1825
4/29/2016,93.74,104.1894,103.1062,1,0,500,0,46870,34335,81205,-0.006666667,-0.18795
5/2/2016,93.64,104.1414,102.8598,1,0,500,0,46820,34335,81155,-0.000615726,-0.18845
5/3/2016,95.18,104.1074,102.6293,1,0,500,0,47590,34335,81925,0.009488017,-0.18075
5/4/2016,94.19,104.0974,102.415,1,0,500,0,47095,34335,81430,-0.006042112,-0.1857
5/5/2016,93.24,104.0402,102.1857,1,0,500,0,46620,34335,80955,-0.005833231,-0.19045
5/6/2016,92.72,103.9594,101.9811,1,0,500,0,46360,34335,80695,-0.003211661,-0.19305
5/9/2016,92.79,103.877,101.7842,1,0,500,0,46395,34335,80730,0.000433732,-0.1927
5/10/2016,93.42,103.8116,101.6135,1,0,500,0,46710,34335,81045,0.003901895,-0.18955
5/11/2016,92.51,103.6512,101.4252,1,0,500,0,46255,34335,80590,-0.005614165,-0.1941
5/12/2016,90.34,103.443,101.2388,1,0,500,0,45170,34335,79505,-0.013463209,-0.20495
5/13/2016,90.52,103.2234,101.0837,1,0,500,0,45260,34335,79595,0.001132004,-0.20405
5/16/2016,93.88,103.0408,100.9492,1,0,500,0,46940,34335,81275,0.021106853,-0.18725
5/17/2016,93.49,102.8732,100.8118,1,0,500,0,46745,34335,81080,-0.002399262,-0.1892
5/18/2016,94.56,102.7438,100.6713,1,0,500,0,47280,34335,81615,0.006598421,-0.18385
5/19/2016,94.2,102.6054,100.533,1,0,500,0,47100,34335,81435,-0.002205477,-0.18565
5/20/2016,95.22,102.4864,100.417,1,0,500,0,47610,34335,81945,0.006262663,-0.18055
5/23/2016,96.43,102.3698,100.2939,1,0,500,0,48215,34335,82550,0.007383001,-0.1745
5/24/2016,97.9,102.2774,100.1997,1,0,500,0,48950,34335,83285,0.008903695,-0.16715
5/25/2016,99.62,102.1782,100.1433,1,0,500,0,49810,34335,84145,0.010325989,-0.15855
5/26/2016,100.41,102.067,100.0939,1,0,500,0,50205,34335,84540,0.004694278,-0.1546
5/27/2016,100.35,101.958,100.0703,1,0,500,0,50175,34335,84510,-0.000354862,-0.1549
5/31/2016,99.86,101.8368,100.0619,1,0,500,0,49930,34335,84265,-0.002899065,-0.15735
6/1/2016,98.46,101.6878,100.082,1,0,500,0,49230,34335,83565,-0.008307126,-0.16435
6/2/2016,97.72,101.5078,100.0896,1,0,500,0,48860,34335,83195,-0.004427691,-0.16805
6/3/2016,97.92,101.3436,100.0835,1,0,500,0,48960,34335,83295,0.001201995,-0.16705
6/6/2016,98.63,101.2028,100.0702,1,0,500,0,49315,34335,83650,0.004261961,-0.1635
6/7/2016,99.03,101.0796,100.0866,1,0,500,0,49515,34335,83850,0.002390915,-0.1615
6/8/2016,98.94,100.9048,100.0808,1,0,500,0,49470,34335,83805,-0.000536673,-0.16195
6/9/2016,99.65,100.7066,100.106,1,0,500,0,49825,34335,84160,0.004236024,-0.1584
6/10/2016,98.83,100.5034,100.1277,1,0,500,0,49415,34335,83750,-0.004871673,-0.1625
6/13/2016,97.34,100.2504,100.1332,1,0,500,0,48670,34335,83005,-0.008895522,-0.16995
6/14/2016,97.46,99.9772,100.1448,0,-1,0,-500,0,83065,83065,0.000722848,-0.16935
6/15/2016,97.14,99.7238,100.102,0,0,0,0,0,83065,83065,0,-0.16935
6/16/2016,97.55,99.4556,100.0831,0,0,0,0,0,83065,83065,0,-0.16935
6/17/2016,95.33,99.1914,100.0365,0,0,0,0,0,83065,83065,0,-0.16935
6/20/2016,95.1,98.9202,100.0533,0,0,0,0,0,83065,83065,0,-0.16935
6/21/2016,95.91,98.658,100.0715,0,0,0,0,0,83065,83065,0,-0.16935
6/22/2016,95.55,98.3602,100.0536,0,0,0,0,0,83065,83065,0,-0.16935
6/23/2016,96.1,98.0414,100.0503,0,0,0,0,0,83065,83065,0,-0.16935
6/24/2016,93.4,97.6674,100.0395,0,0,0,0,0,83065,83065,0,-0.16935
6/27/2016,92.04,97.3112,99.9964,0,0,0,0,0,83065,83065,0,-0.16935
6/28/2016,93.59,97.0334,99.9663,0,0,0,0,0,83065,83065,0,-0.16935
6/29/2016,94.4,96.7832,99.9701,0,0,0,0,0,83065,83065,0,-0.16935
6/30/2016,95.6,96.5526,99.976,0,0,0,0,0,83065,83065,0,-0.16935
7/1/2016,95.89,96.351,99.985,0,0,0,0,0,83065,83065,0,-0.16935
7/5/2016,94.99,96.1372,99.9922,0,0,0,0,0,83065,83065,0,-0.16935
7/6/2016,95.53,95.9462,100.0105,0,0,0,0,0,83065,83065,0,-0.16935
7/7/2016,95.94,95.778,100.03,0,0,0,0,0,83065,83065,0,-0.16935
7/8/2016,96.68,95.7552,100.0304,0,0,0,0,0,83065,83065,0,-0.16935
7/11/2016,96.98,95.7982,100.019,0,0,0,0,0,83065,83065,0,-0.16935
7/12/2016,97.42,95.8718,100.0306,0,0,0,0,0,83065,83065,0,-0.16935
7/13/2016,96.87,95.9364,100.0389,0,0,0,0,0,83065,83065,0,-0.16935
7/14/2016,98.79,96.0086,100.058,0,0,0,0,0,83065,83065,0,-0.16935
7/15/2016,98.78,96.1004,100.0989,0,0,0,0,0,83065,83065,0,-0.16935
7/18/2016,99.83,96.2322,100.1362,0,0,0,0,0,83065,83065,0,-0.16935
7/19/2016,99.87,96.3752,100.1673,0,0,0,0,0,83065,83065,0,-0.16935
7/20/2016,99.96,96.5186,100.1978,0,0,0,0,0,83065,83065,0,-0.16935
7/21/2016,99.43,96.6388,100.2252,0,0,0,0,0,83065,83065,0,-0.16935
7/22/2016,98.66,96.7618,100.2065,0,0,0,0,0,83065,83065,0,-0.16935
7/25/2016,97.34,96.9018,100.1724,0,0,0,0,0,83065,83065,0,-0.16935
7/26/2016,96.67,97.0248,100.1241,0,0,0,0,0,83065,83065,0,-0.16935
7/27/2016,102.95,97.2062,100.1235,0,0,0,0,0,83065,83065,0,-0.16935
7/28/2016,104.34,97.4232,100.1482,0,0,0,0,0,83065,83065,0,-0.16935
7/29/2016,104.21,97.6162,100.18,0,0,0,0,0,83065,83065,0,-0.16935
8/1/2016,106.05,97.8532,100.2293,0,0,0,0,0,83065,83065,0,-0.16935
8/2/2016,104.48,98.0384,100.2624,0,0,0,0,0,83065,83065,0,-0.16935
8/3/2016,105.79,98.2256,100.2977,0,0,0,0,0,83065,83065,0,-0.16935
8/4/2016,105.87,98.385,100.3312,0,0,0,0,0,83065,83065,0,-0.16935
8/5/2016,107.48,98.5422,100.3602,0,0,0,0,0,83065,83065,0,-0.16935
8/8/2016,108.37,98.7014,100.3842,0,0,0,0,0,83065,83065,0,-0.16935
8/9/2016,108.81,98.8706,100.4143,0,0,0,0,0,83065,83065,0,-0.16935
8/10/2016,108,99.0334,100.4351,0,0,0,0,0,83065,83065,0,-0.16935
8/11/2016,107.93,99.2228,100.4553,0,0,0,0,0,83065,83065,0,-0.16935
8/12/2016,108.18,99.432,100.4699,0,0,0,0,0,83065,83065,0,-0.16935
8/15/2016,109.48,99.6632,100.5034,0,0,0,0,0,83065,83065,0,-0.16935
8/16/2016,109.38,99.8782,100.5405,0,0,0,0,0,83065,83065,0,-0.16935
8/17/2016,109.22,100.082,100.5808,0,0,0,0,0,83065,83065,0,-0.16935
8/18/2016,109.08,100.2848,100.5948,0,0,0,0,0,83065,83065,0,-0.16935
8/19/2016,109.36,100.479,100.5928,0,0,0,0,0,83065,83065,0,-0.16935
8/22/2016,108.51,100.6726,100.588,1,1,500,500,54255,28810,83065,0,-0.16935
8/23/2016,108.85,100.9028,100.5766,1,0,500,0,54425,28810,83235,0.00204659,-0.16765
8/24/2016,108.03,101.1142,100.5457,1,0,500,0,54015,28810,82825,-0.004925812,-0.17175
8/25/2016,107.57,101.3228,100.5233,1,0,500,0,53785,28810,82595,-0.002776939,-0.17405
8/26/2016,106.94,101.5106,100.4831,1,0,500,0,53470,28810,82280,-0.00381379,-0.1772
8/29/2016,106.82,101.7404,100.4659,1,0,500,0,53410,28810,82220,-0.000729217,-0.1778
8/30/2016,106,101.9584,100.4393,1,0,500,0,53000,28810,81810,-0.004986621,-0.1819
8/31/2016,106.1,102.1622,100.4101,1,0,500,0,53050,28810,81860,0.000611172,-0.1814
9/1/2016,106.73,102.3858,100.373,1,0,500,0,53365,28810,82175,0.003848033,-0.17825
9/2/2016,107.73,102.6184,100.3299,1,0,500,0,53865,28810,82675,0.006084576,-0.17325
9/6/2016,107.7,102.9044,100.2859,1,0,500,0,53850,28810,82660,-0.000181433,-0.1734
9/7/2016,108.36,103.2308,100.271,1,0,500,0,54180,28810,82990,0.003992257,-0.1701
9/8/2016,105.52,103.4694,100.2514,1,0,500,0,52760,28810,81570,-0.017110495,-0.1843
9/9/2016,103.13,103.644,100.2136,1,0,500,0,51565,28810,80375,-0.014649994,-0.19625
9/12/2016,105.44,103.8408,100.1967,1,0,500,0,52720,28810,81530,0.01437014,-0.1847
9/13/2016,107.95,104.082,100.2165,1,0,500,0,53975,28810,82785,0.015393107,-0.17215
9/14/2016,111.77,104.4176,100.2774,1,0,500,0,55885,28810,84695,0.023071813,-0.15305
9/15/2016,115.57,104.8184,100.3823,1,0,500,0,57785,28810,86595,0.022433438,-0.13405
9/16/2016,114.92,105.198,100.488,1,0,500,0,57460,28810,86270,-0.003753104,-0.1373
9/19/2016,113.58,105.536,100.6456,1,0,500,0,56790,28810,85600,-0.007766315,-0.144
9/20/2016,113.57,105.8678,100.833,1,0,500,0,56785,28810,85595,-5.84E-05,-0.14405
9/21/2016,113.55,106.1904,101.0311,1,0,500,0,56775,28810,85585,-0.000116829,-0.14415
9/22/2016,114.62,106.5454,101.2409,1,0,500,0,57310,28810,86120,0.006251095,-0.1388
9/23/2016,112.71,106.8238,101.4162,1,0,500,0,56355,28810,85165,-0.011089178,-0.14835
9/26/2016,112.88,107.1058,101.6031,1,0,500,0,56440,28810,85250,0.000998063,-0.1475
9/27/2016,113.09,107.371,101.8016,1,0,500,0,56545,28810,85355,0.001231672,-0.14645
9/28/2016,113.95,107.6526,102.0139,1,0,500,0,56975,28810,85785,0.005037783,-0.14215
9/29/2016,112.18,107.897,102.2078,1,0,500,0,56090,28810,84900,-0.010316489,-0.151
9/30/2016,113.05,108.1694,102.4041,1,0,500,0,56525,28810,85335,0.005123675,-0.14665
10/3/2016,112.52,108.4466,102.6042,1,0,500,0,56260,28810,85070,-0.003105408,-0.1493
10/4/2016,113,108.7598,102.8308,1,0,500,0,56500,28810,85310,0.002821206,-0.1469
10/5/2016,113.05,109.0874,103.0561,1,0,500,0,56525,28810,85335,0.000293049,-0.14665
10/6/2016,113.89,109.3062,103.2562,1,0,500,0,56945,28810,85755,0.004921779,-0.14245
10/7/2016,114.06,109.5006,103.4619,1,0,500,0,57030,28810,85840,0.000991196,-0.1416
