Date,Open,High,Low,Close,Adj Close,Volume
6/13/2018,6556.939941,6623,6140.629883,6310.430176,6310.430176,797087281
6/14/2018,6310.430176,6719.439941,6286.22998,6643.259766,6643.259766,620296377
6/15/2018,6643.629883,6667.22998,6380.689941,6396.709961,6396.709961,379228601
6/16/2018,6396.709961,6569.149902,6345.990234,6503.100098,6503.100098,232802782
6/17/2018,6503.100098,6585.77002,6446.379883,6457.779785,6457.779785,224575526
6/18/2018,6457.779785,6802.029785,6401.410156,6714.819824,6714.819824,430241689
6/19/2018,6714.560059,6839.600098,6672.200195,6741.279785,6741.279785,370797057
6/20/2018,6741.279785,6817.899902,6569.959961,6761.27002,6761.27002,400530201
6/21/2018,6761.27002,6790.080078,6687.660156,6720.640137,6720.640137,295690715
6/22/2018,6720.640137,6731.509766,5941.319824,6051.470215,6051.470215,862826624
6/23/2018,6051.470215,6257.879883,6033.200195,6166.540039,6166.540039,350697378
6/24/2018,6166.359863,6254.02002,5782.129883,6157.779785,6157.779785,667479078
6/25/2018,6157.779785,6344.450195,6095.25,6260.350098,6260.350098,492834172
6/26/2018,6260.399902,6286.359863,6067.490234,6088.390137,6088.390137,391396653
6/27/2018,6092.259766,6192.109863,6021.689941,6141.569824,6141.569824,383457137
6/28/2018,6141.569824,6172.22998,5844.259766,5871.279785,5871.279785,385907044
6/29/2018,5870.810059,6286.669922,5813.02002,6203.799805,6203.799805,554799001
6/30/2018,6203.810059,6503.330078,6194.509766,6385.379883,6385.379883,419284677
7/1/2018,6385.430176,6429.5,6262.720215,6339.040039,6339.040039,259708490
7/2/2018,6342.689941,6673.709961,5537.859863,6615.660156,6615.660156,465915661
7/3/2018,6616.600098,6670.299805,6473.47998,6509.580078,6509.580078,356390898
7/4/2018,6508.430176,6777.970215,6411.129883,6590.060059,6590.060059,412202352
7/5/2018,6589.77002,6691.319824,6448.22998,6534.810059,6534.810059,421189063
7/6/2018,6534.810059,6633.439941,6458.140137,6602.02002,6602.02002,310759733
7/7/2018,6602.029785,6814.419922,6518.22998,6758.080078,6758.080078,277167900
7/8/2018,6758.080078,6782.850098,6684.149902,6707.379883,6707.379883,268455446
7/9/2018,6707.459961,6803.100098,6625.580078,6668.839844,6668.839844,328316145
7/10/2018,6668.839844,6683.609863,6277.22998,6306.850098,6306.850098,470432142
